Title,Group audio,Violin audio,Singing audio,Guitar audio,Percussion audio,Music score,Lyrics,Translations,Plurilingual songs,History,Videos,Beneficiaries,Difficulty Level,Musical style,Style musical,Thèmes,Themes,Country/Geographic origin,Pays/origine géographique,Language of origin,Langue d'origine,IS A SONG,NEWSLETTER,,,,,,,,,,
500 MILES,no,no,no,no,no,no,"1. English : yes
2. French : yes","1. English->French : yes
2. French->English : yes","1. English : 500 MILES
2. French : J'ENTENDS SIFFLER LE TRAIN",no,NA,"Teenagers 
Adults 
Seniors",Intermediate,"Country, Traditional song","Country, Chanson traditionnelle","Amour, arbre, chene, nature, nostalgie, oiseau, passage du temps, rossignol, tristesse ","bird, love, nature, nightingale, nostalgia, oak, passage of time, sadness, tree","United States of America, Northern America","Etats-Unis, Amérique du Nord",English,Anglais,TRUE,,,,,,,,,,,
A LA CLAIRE FONTAINE,yes,no,no,no,no,yes,French : yes,French->English : yes,NA,"French : yes
English : yes",NA,"Children
Teenagers
Adults
Seniors",Easy,"Children's song, Medieval song, Traditional song","Chanson enfantine, Chanson médiévale, Chanson traditionnelle","Amour, arbre, chêne, nature, nostalgie, oiseau, passage du temps, rossignol, 
tristesse ","bird, love, nature, nightingale, nostalgia, oak, passage of time, sadness, tree","France, Western Europe","France, Europe de l'Ouest",French,Français,TRUE,,,,,,,,,,,
A LA UNA,yes,"Notes voice 1 : yes
Notes voice 2 : yes
Scale : yes
Slow speed voice 1 : yes
Original speed voice 1 : yes
Slow speed voice 2 : yes
Original speed voice 2 : yes","Notes voice 1 : yes
Notes voice 2 : yes
Scale : yes
Ladino lyrics in rhythm : yes
Ladino slow speed voice 1 : yes
Ladino original speed voice 1 : yes
Ladino slow speed voice 2 : yes
Ladino original speed voice 2 : yes
","Notes : yes
Scale : no
Chords : yes
Slow speed chords : yes
Original speed chords : yes
Slow melody : yes 
Original melody : yes","Darbouka Original speed : yes
Darbouka Slow speed : yes
Darbouka Rhythmic pattern : yes
",yes,Ladino : yes,"Ladino->English : yes
Ladino->French : yes",NA,"French : yes
English : yes",NA,"Teenagers 
Adults 
Seniors",Easy,"Sephardic, Traditional song","Chant traditionnel, Sépharade","Amour, curiosité, étapes de la vie, nombres, temps","Curiosity, love, number, stages of life, time","Israel, Western Asia","Israël, Asie de l'Ouest",Ladino,Ladino,TRUE,,,,,,,,,,,
AGANAN YISH,no,no,Chenchen : yes,no,no,no,Chechen : yes,"Chechen->English : yes
Chechen->French : yes",NA,"French : yes
English : yes",NA,"Teenagers 
Adults 
Seniors",Intermediate,"Lullaby, Traditional song","Berceuse, Chant traditionnel","amour parental, anges, enfance, futur, repos, sommeil","Chechen: Angels, childhood, futur, parental love, rest, sleep","Chechnya, North-Eastern Europe","Chechnya, nord-est de l'Europe",Chechen,Chechen,TRUE,,,,,,,,,,,
AH VOUS DIRAI-JE MAMAN,no,no,"English : yes
French : yes
",no,no,yes,"1. English : yes
2. French : yes
3. Italian : yes
4. German : yes
5. Spanish : yes
6. French : yes
7. English : yes
8. French : yes 
9. English : no
10. Greek : yes ","1. English->French : yes
2. French->English : yes
3.1. Italian->English : yes
3.2. Italian->French : yes
4.1. German->English : yes
4.2. German->French : yes
5.1. Spanish->English : yes
5.2. Spanish->French : yes
6. French->English : yes
7. English->French : yes
8. French->English : yes
9. English->French : no 
10.1. Greek->English : yes
10.2. Greek->French : yes","1. English : TWINKLE TWINKLE LITTLE STAR
2. French : AH VOUS DIRAI-JE MAMAN
3. Italian : BELLA STELLA
4. German : DAS ABC LIED
5. Spanish : ESTRELLITA 
6. French : LA CHANSON DE L'ALPHABET
7. English : LITTLE ARABELLA MILLER
8. French : QUAND TROIS POULES VONT AUX CHAMPS
9. English : THE ALPHABET SONG
10. Greek : FEGGARAKI MOU LAMBRO","French : yes
English : yes",NA,Children,Easy,"Children's song, Nursery rhyme, Pastoral, Traditional song","Chanson enfantine, Chant traditionnel, Comptine, Pastorale","Ah vous dirai-je maman: Bobon, conflit, désir, enfance, famille, gourmadise, 
innocence, mère, père, rébellion
Grec : éducation, école, lune
La chanson de l'alphabet:  Apprentissage, connaissance, lettres
Quand trois poules vont aux champs: Animaux, campagne, chiffre, compter, 
mouvement, nature, nombre","English: Little arabella Miller; Animals, caterpillar, cycle of life, discovery, disgust, 
family, insect, reaction to the unknown, 
English: Twinkle, twinkle little star; Curiosity, galaxy, light, ature, night, star, 
wonder
Greek : school, moon, education
German: Alphabet, education, language, learning, letters
Italian: Astronomy, awareness, height, observation, sky, star, understanding,  
universe
Spanish: Beauty, curiosity, heaven, nature, ocean, search, star","France, Western Europe","France, Europe de l'Ouest",French,Français,TRUE,,,,,,,,,,,
ALLE VOEGEL SIND SCHON DA,yes,yes,German : yes,no,no,yes,German : yes,"German->English : yes
German->French : yes",NA,"French : yes
English : yes",NA,"Teenagers 
Adults 
Seniors",Intermediate,"Children's song, Nursery rhyme","Chanson enfantine, Comptine","célébration, musique, nature, oiseau, retour du printemps, saison","German: Celebration, music, nature, bird, return of spring, season ","Germany, Western Europe","Allemagne, Europe de l'Ouest",German,Allemand,TRUE,,,,,,,,,,,
ALORS ON DANSE,no,no,no,no,no,no,French : yes,French->English : yes,NA,no,NA,"Teenagers
Adults",Intermediate,"Pop, Chanson francophone","Pop, French song","Argent, bonheur, cycle de la vie, danse, difficulté de la vie, fatigue, monde, musique","cycle of life, dance, difficulty of life, fatigue, happiness, money, music, world","Belgium, Western Europe","Belgique, Europe de l'Ouest",French,Français,TRUE,,,,,,,,,,,
ANEVA STO TRAPEZIMOU,yes,"Notes : yes
Scale : yes
Slow speed : yes
Original speed : yes","Singing Notes : yes
Singing Scale : yes
Greek Slow speed : yes
Greek Original speed : yes
Greek Lyrics in rhythm : yes ","Notes : no
Scale : no
Chords : yes
Slow speed chords : yes
Original speed chords : yes
Slow melody : no 
Original melody : no","Darbouka Original speed : yes
Darbouka Slow speed : yes
Darbouka Rhythmic pattern : yes
",yes,Greek : yes,"Greek->English : yes
Greek->French : yes",NA,"French : yes
English : yes",NA,"Teenagers 
Adults 
Seniors",Intermediate,Traditional song,Chant traditionnel,"alcool, danse, excès, festival, fête, musique","Greek: Alcohol, dance, excess, festival, music, party","Greece, South-Eastern Europe","Grèce, Europe du Sud-Est",Greek,Grec,TRUE,,,,,,,,,,,
ANI COUNI CHAOUANI,no,no,no,no,no,yes,Arapaho : yes,"Arapaho->English : yes
Arapaho->French : yes",NA,"French : yes
English : yes",NA,"Children
Teenagers 
Adults 
Seniors",Easy,Traditional song,Chant traditionnel,"abandon, détresse, lutte, père, souffrance, survie, vide","Arapaho: Abandonment, distress, emptiness, Father, struggle, suffering, survival",North America,"Colorado, Amérique du Nord",Arapaho,Arapaho,TRUE,,,,,,,,,,,
ANI MORE NUSE,yes,"Notes : yes
Scale : yes
Slow speed : yes
Original speed : yes","Singing Notes : yes
Singing Scale : yes
Albanian Slow speed : yes
Albanian Original speed : yes","Notes : no
Scale : no
Chords : yes
Slow speed chords : yes
Original speed chords : yes
Slow melody : no 
Original melody : no",no,yes,Albanian : yes,"Albanian->English : yes
Albanian->French : yes
Albanian->German : yes",NA,"French : yes
English : yes",NA,"Teenagers 
Adults 
Seniors",Intermediate,Traditional song,Chant traditionnel,"amour, apparence, bijoux, importance de la personnalité, recherche du partenaire idéal, stéréotype","Albanian: Appearance, importance of personality, jewerly, love, search for the 
ideal partner, stereotype ","Albania, South-Eastern Europe","Albanie, Europe du Sud-Est",Albanian,Albanais,TRUE,,,,,,,,,,,
